City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,45.81,72,0,1.66,GL,1722653259
1,olonkinbyen,70.9221,-8.7187,42.19,92,100,9.19,SJ,1722653304
2,wailua homesteads,22.0669,-159.378,81.39,73,0,10.36,US,1722653261
3,puerto natales,-51.7236,-72.4875,35.02,99,100,1.1,CL,1722653306
4,saladan,7.6134,99.0365,84.09,70,97,0.43,TH,1722653308
5,port-aux-francais,-49.35,70.2167,36.0,79,68,25.1,TF,1722653309
6,ouani,-12.1322,44.4258,75.92,64,1,13.49,KM,1722653310
7,arraial do cabo,-22.9661,-42.0278,71.51,78,0,19.6,BR,1722653311
8,goynuk,40.4003,30.7883,59.97,48,0,2.15,TR,1722653313
9,invercargill,-46.4,168.35,46.02,78,0,1.01,NZ,1722653270
10,grytviken,-54.2811,-36.5092,30.24,87,100,12.82,GS,1722653271
11,ilulissat,69.2167,-51.1,48.22,66,0,1.14,GL,1722653272
12,afaahiti,-17.75,-149.2833,76.87,68,20,12.59,PF,1722653274
13,fort morgan,40.2503,-103.8,74.05,60,0,14.97,US,1722653275
14,hermanus,-34.4187,19.2345,49.08,68,0,2.89,ZA,1722653320
15,zierikzee,51.6539,3.9196,68.02,87,81,9.66,NL,1722653321
16,manta,-0.95,-80.7333,74.98,83,100,9.22,EC,1722653322
17,darhan,49.4867,105.9228,62.62,86,100,3.98,MN,1722653323
18,chingola,-12.529,27.8838,52.47,46,0,5.48,ZM,1722653325
19,kununurra,-15.7667,128.7333,85.98,28,5,9.22,AU,1722653326
20,port elizabeth,-33.918,25.5701,47.32,98,0,2.3,ZA,1722653327
21,tsiroanomandidy,-18.7667,46.0333,53.89,92,2,1.97,MG,1722653328
22,edinburgh of the seven seas,-37.0676,-12.3116,49.19,50,66,25.21,SH,1722653330
23,uturoa,-16.7333,-151.4333,75.61,64,87,13.71,PF,1722653331
24,thompson,55.7435,-97.8558,60.96,67,40,8.05,CA,1722653332
25,dudinka,69.4058,86.1778,65.53,54,18,8.61,RU,1722653333
26,bilibino,68.0546,166.4372,52.52,55,100,11.61,RU,1722653335
27,kingston,17.997,-76.7936,83.35,84,40,11.5,JM,1722653116
28,hammerfest,70.6634,23.6821,57.65,82,10,4.61,NO,1722653337
29,aykhal,66.0,111.5,67.32,44,100,9.82,RU,1722653338
30,adamstown,-25.066,-130.1015,68.34,78,3,7.87,PN,1722653340
31,whitehorse,60.7161,-135.0538,64.02,45,40,1.99,CA,1722653341
32,green river,41.5286,-109.4662,90.0,21,71,1.01,US,1722653342
